PMCID,Abstract endpoint,Full text annotation offset,Full text annotation endpoint
PMC3869907,2121,15995,28699
PMC3885731,1493,9771,11447
PMC4850918,1532,,
PMC4994979,2049,17884,22183
PMC5131798,1396,6426,29146
PMC5209300,1453,14117,21867
PMC5294823,2092,5447,26133
PMC5492721,2136,13637,24774
PMC5603605,1609,4463,17750
PMC5701315,2263,14620,21134
PMC5852702,1678,13918,17380
PMC5991202,2462,13144,22599
PMC6066923,2763,16057,25263
PMC6082879,1643,,
PMC6161427,2444,,
PMC6424929,2360,,
PMC6426958,1786,3933,16903
PMC6498444,1029,4291,21920
PMC6691855,2205,,
PMC6824284,2684,,
PMC7138683,2677,,
PMC7306983,1990,,
PMC7490872,2948,,
PMC7501097,2123,,
PMC7524158,2047,,
PMC7536740,1780,,
PMC7922998,1588,,
PMC8025206,1826,13559,17818
PMC8030699,2361,16247,29507
PMC8354918,2212,12859,26543
PMC8417923,2203,14034,19550
PMC8557869,2584,,
PMC8619073,1416,,
PMC8697019,2251,,
PMC8839280,1559,,
PMC8942430,2014,6210,18139
PMC9001705,1845,,
PMC9032876,1722,,
PMC9106798,2368,24981,39830
PMC9132890,2066,6127,23106
PMC9144108,1821,13346,23069
PMC9150053,2830,,
PMC9154801,2066,5058,29475
PMC9182171,1813,5815,12293
PMC9182596,1685,16306,28573
PMC9183096,1871,10390,17585
PMC9183112,1639,15606,26015
PMC9199182,2683,18265,35157
PMC9199192,2635,,
PMC9215062,2052,4750,26810
PMC9229734,1605,25313,43910
PMC9239261,1315,,
PMC9279244,2451,,
PMC9279853,2267,,
